ts,FS_0234_PV,FS_0372_PV,FI_0395_PV,FI_0567_PV,FI_0879_PV,FC_0173_PV,FI_0497_PV,FI_0396_PV,FI_0319_PV,FC_0756_PV,FC_0696_PV,LC_0493_PV,PD_0272_PV,PI_0922_PV,PI_0326_PV,PC_0163_PV,FC_0688_OP,FC_0126_OP,FC_0419_OP,FC_0971_OP,FC_0749_OP,FC_0336_OP,FC_0619_OP,FC_0178_OP,FC_0689_OP,FC_0262_OP,HC_0493_OP,HC_0378_OP,LC_0585_OP,LC_0678_OP,LC_0365_OP,LC_0894_OP,LC_0189_OP,PC_0181_OP,TC_0389_OP,AI_0573_PV,AI_0243_PV,AI_0295_PV,AI_0286_PV,FS_0776_PV,FS_0477_PV,FS_0976_PV,TI_0585_PV,TI_0421_PV,TI_0472_PV,TI_0824_PV,TI_0682_PV,TI_0642_PV,TI_0949_PV,TI_0898_PV,TI_0697_PV,TI_0316_PV,TC_0787_PV,TC_0987_PV,TC_0787_PV,LC_0915_OP,PI_0231_PV,FS_0669_PV,PC_0197_PV,FC_0285_PV,SC_0444_A0,SC_0261_BE,SC_0318_CO,SC_0721_D5,SC_0717_DK,SC_0531_DO,SC_0439_ED,SC_0859_F6,SC_0854_F8,SC_0192_F9,SC_0574_FC,SC_0243_FF,SC_0613_FI
2021/3/1 6:41,0,0,1468.3127,3.7517765,274.282,6.097851,5.6608334,694.55396,726.57294,131.59561,144.17935,51.14361,0.2949125,1.1904,0.99815,11.652429,61.31103,70.30111,50.69675,54.400116,50.700047,60.148575,82.78513,81.091484,84.16595,85.26429,50.001,106.9,15.229416,59.812294,28.197556,53.684486,58.57882,61.652744,-6.9,3.6003625,-99999,-99999,-99999,0,5.9400773,0,60.239197,334.395,343.18658,359.51312,368.69522,103.782166,103.820885,35.79001,368.96576,378.61792,100.255,362.5118,371.39505,71.04295,0.044908058,118.18829,0.061679363,0.8043303,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 7:01,0,0,1468.6921,3.7346668,273.91696,6.1809826,5.797679,694.47815,726.69275,130.75395,144.11926,50.300056,0.330625,1.2387,0.99795,11.653955,61.312378,70.34147,50.726105,54.427254,50.689526,60.152958,82.778656,81.09142,84.15797,85.27166,50.001,106.9,17.381538,59.781254,32.27637,53.779247,65.90587,61.510468,-6.9,3.5768251,-99999,-99999,-99999,0,5.9874563,0,59.75781,334.35065,343.18658,359.48096,368.64304,103.846825,103.896324,35.810436,368.9301,378.59387,100.405,362.38602,371.3924,71.04295,0.045050904,118.18322,0.061828516,0.78739417,0.9325,5.47,79.37,2.01,0.159,446.2,0.7,236,336,370,408.5,436.5,463.5
2021/3/1 7:21,0,0,1469.0715,3.7592258,273.5519,6.2576404,5.874612,694.4023,726.81256,130.68243,144.1498,49.455086,0.338875,1.24755,0.996675,11.655481,61.31372,70.38183,50.755463,54.45439,50.679005,60.157337,82.77217,81.09136,84.14998,85.27903,50.001,106.9,16.838072,59.750217,42.87078,53.728676,55.64329,61.390373,-6.9,3.5396376,-99999,-99999,-99999,0,6.0821652,0,60.395615,334.3063,343.18658,359.44882,368.59085,103.91149,103.97177,35.830864,368.89444,378.5698,101.57,362.45624,371.38974,71.04295,0.04570882,118.17815,0.061977673,0.48719326,0.9325,5.47,79.37,2.01,0.159,446.2,0.7,236,336,370,408.5,436.5,463.5
2021/3/1 7:41,0,0,1469.4509,3.7907271,274.3298,6.326699,5.9568205,694.34283,726.9324,130.9396,144.1898,51.18558,0.32751873,1.2333,0.997675,11.657007,61.315063,70.422195,50.784817,54.481533,50.668484,60.16172,82.765686,81.0913,84.142,85.2864,50.001,106.9,13.857383,59.719177,42.188847,53.795746,65.643585,61.438217,-6.9,3.6395626,-99999,-99999,-99999,0,6.1444554,0,59.55318,334.26196,343.18658,359.41666,368.5387,103.97616,104.04721,35.851295,368.85876,378.54575,102.21,362.54816,371.38705,71.04295,0.044959165,118.17308,0.062126826,0.8377034,0.9325,5.47,79.37,2.01,0.159,446.2,0.7,236,336,370,408.5,436.5,463.5
2021/3/1 8:01,0,0,1469.8302,3.7739484,274.89612,6.2274756,5.791008,694.7224,727.1648,130.8963,144.22981,50.680943,0.33827502,1.24185,0.996725,11.658533,61.316406,70.462555,50.81417,54.50867,50.663597,60.166103,82.75921,81.09124,84.13402,85.29376,50.001,106.9,14.017545,59.688137,34.910072,53.801014,50.76383,61.48606,-6.9,3.6007123,-99999,-99999,-99999,0,6.0599327,0,60.552013,334.21762,343.18658,359.38452,368.4865,104.04083,104.12266,35.871723,368.8231,378.5217,101.555,362.70248,371.3844,71.04295,0.045711324,118.16801,0.062275983,1.1100119,0.9325,5.47,79.37,2.01,0.159,446.2,0.7,236,336,370,408.5,436.5,463.5
2021/3/1 8:21,0,0,1470.2096,3.775935,274.00696,6.117118,5.677136,696.4744,727.4417,131.13184,144.26982,50.048412,0.326375,1.22355,0.99665,11.660059,61.31775,70.502914,50.730232,54.53581,50.69285,60.170483,82.75272,81.09118,84.12604,85.30113,50.001,106.9,12.894188,59.6571,38.0605,53.714817,68.99727,61.533905,-6.9,3.5440125,-99999,-99999,-99999,0,5.897543,0,60.16701,334.17328,343.18658,359.35236,368.43433,104.10953,104.18319,35.89215,368.7874,378.49765,102.13,362.89844,371.38174,71.04295,0.045084026,118.16293,0.06242514,0.41360113,0.9325,5.47,79.37,2.01,0.159,446.2,0.7,236,336,370,408.5,436.5,463.5
2021/3/1 8:41,0,0,1470.4958,3.7931535,273.67395,6.1013923,5.709711,691.69006,727.7186,131.36736,144.30981,48.977783,0.31893125,1.2193501,0.9978,11.661586,61.31909,70.543274,50.632526,54.562946,50.722095,60.174866,82.74625,81.09112,84.11805,85.29204,50.001,106.9,11.655368,59.62606,32.94161,53.43321,54.699787,61.443924,-6.9,3.23085,-99999,-99999,-99999,0,5.928497,0,60.924835,334.12894,343.18658,359.32022,368.38214,104.17827,104.2398,35.91258,368.75174,378.4736,102.665,362.20944,371.37906,71.04295,0.043027226,118.15787,0.0625743,1.3036329,0.9325,5.47,79.37,2.01,0.159,446.2,0.7,236,336,370,408.5,436.5,463.5
2021/3/1 9:01,0,0,1470.7504,3.762209,273.34094,6.1183944,5.728331,691.1545,727.99554,131.60289,144.33862,49.34301,0.28417417,1.17135,0.9968467,11.663112,61.32044,70.58363,50.534824,54.590084,50.751347,60.179245,82.73976,81.09106,84.11007,85.280945,50.001,106.9,7.8258348,59.59502,27.782963,53.78546,63.420795,61.36019,-6.9,3.50252,-99999,-99999,-99999,0,5.940298,0,60.102814,334.08463,343.18658,359.28806,368.32996,104.24701,104.29641,35.933006,368.71606,378.44952,102.461334,362.24036,371.3764,71.04295,0.044515643,118.152794,0.062712885,0.8098347,0.9325,5.47,79.37,2.01,0.159,446.2,0.7,236,336,370,408.5,436.5,463.5
2021/3/1 9:21,0,0,1471.0049,3.807527,275.36893,6.099206,5.7061524,691.7062,728.27246,131.83841,144.36646,50.233303,0.28771457,1.1812501,0.9971157,11.664638,61.32178,70.624,50.43712,54.617226,50.780594,60.183628,82.73328,81.090996,84.10209,85.26985,50.001,106.9,7.524277,59.563984,24.192177,53.878384,51.56706,61.972454,-6.9,3.5616174,-99999,-99999,-99999,0,5.9299607,0,59.48997,334.04028,343.18658,359.25592,368.27777,104.31575,104.35302,35.953434,368.6804,378.42548,101.63141,362.27725,371.37375,71.04295,0.045568105,118.14772,0.06214391,0.8972514,0.9325,5.47,79.37,2.01,0.159,446.2,0.7,236,336,370,408.5,436.5,463.5
2021/3/1 9:41,0,0,1471.2594,3.7729843,272.9051,6.17625,5.7981334,692.2579,728.5494,129.63489,144.39429,50.569553,0.2788,1.1748,0.99822503,11.666163,61.323124,70.66436,50.339417,54.644363,50.809845,60.188007,82.7268,81.090935,84.09411,85.25876,50.001,106.9,9.377654,59.532944,26.946,53.608196,65.3195,61.431133,-6.9,3.3872123,-99999,-99999,-99999,0,5.9922037,0,59.047432,333.99594,343.18658,359.22375,368.24448,104.3845,104.40963,35.973866,368.6447,378.40143,101.6575,362.31415,371.3672,71.04295,0.044923335,118.142654,0.061934356,0.9846681,0.9325,5.47,79.37,2.01,0.159,446.2,0.7,236,336,370,408.5,436.5,463.5
